0:0:0:0:0:0:0:1 - - [19/Sep/2017:12:57:58 +0530] "GET /WeChatBackend/getimage/Safna HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Sep/2017:12:58:20 +0530] "GET /WeChatBackend/ HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [19/Sep/2017:12:58:32 +0530] "GET /WeChatBackend/ HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [19/Sep/2017:12:59:22 +0530] "GET /WeChatFrontend/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2017:12:59:22 +0530] "GET /WeChatBackend/getimage/%7B%7BcurrentUser.username%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Sep/2017:12:59:22 +0530] "GET /WeChatBackend/getimage/Safna HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Sep/2017:12:59:25 +0530] "GET /WeChatFrontend/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2017:12:59:25 +0530] "GET /WeChatBackend/getimage/%7B%7BcurrentUser.username%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Sep/2017:12:59:25 +0530] "GET /WeChatBackend/getimage/Safna HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Sep/2017:12:59:42 +0530] "GET /WeChatFrontend/ HTTP/1.1" 200 9591
0:0:0:0:0:0:0:1 - - [19/Sep/2017:12:59:57 +0530] "GET /WeChatFrontend/js/app.js HTTP/1.1" 200 2659
0:0:0:0:0:0:0:1 - - [19/Sep/2017:12:59:57 +0530] "GET /WeChatFrontend/controller/usercontroller.js HTTP/1.1" 200 1658
0:0:0:0:0:0:0:1 - - [19/Sep/2017:12:59:57 +0530] "GET /WeChatFrontend/service/userservice.js HTTP/1.1" 200 671
0:0:0:0:0:0:0:1 - - [19/Sep/2017:12:59:57 +0530] "GET /WeChatFrontend/controller/jobcontroller.js HTTP/1.1" 200 1086
0:0:0:0:0:0:0:1 - - [19/Sep/2017:12:59:57 +0530] "GET /WeChatFrontend/service/jobservice.js HTTP/1.1" 200 463
0:0:0:0:0:0:0:1 - - [19/Sep/2017:12:59:57 +0530] "GET /WeChatFrontend/controller/blogpostcontroller.js HTTP/1.1" 200 880
0:0:0:0:0:0:0:1 - - [19/Sep/2017:12:59:57 +0530] "GET /WeChatFrontend/controller/blogpostdetailcontroller.js HTTP/1.1" 200 1903
0:0:0:0:0:0:0:1 - - [19/Sep/2017:12:59:57 +0530] "GET /WeChatFrontend/service/blogpostservice.js HTTP/1.1" 200 1156
0:0:0:0:0:0:0:1 - - [19/Sep/2017:12:59:57 +0530] "GET /WeChatFrontend/controller/friendcontroller.js HTTP/1.1" 200 2183
0:0:0:0:0:0:0:1 - - [19/Sep/2017:12:59:57 +0530] "GET /WeChatFrontend/service/friendservice.js HTTP/1.1" 200 952
0:0:0:0:0:0:0:1 - - [19/Sep/2017:12:59:57 +0530] "GET /WeChatFrontend/controller/frienddetailcontroller.js HTTP/1.1" 200 416
