0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:18:14 +0530] "GET /WeChatFrontend/controller/friendcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:18:14 +0530] "GET /WeChatFrontend/service/friendservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:18:14 +0530] "GET /WeChatBackend/getimage/%7B%7BcurrentUser.username%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:18:15 +0530] "GET /WeChatFrontend/images/12s.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:18:15 +0530] "GET /WeChatBackend/getimage/%7B%7BcurrentUser.username%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:18:15 +0530] "GET /WeChatFrontend/views/listofsuggestedusers.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:18:15 +0530] "GET /WeChatBackend/getimage/Safna HTTP/1.1" 200 271658
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:18:15 +0530] "GET /WeChatBackend/getpendingrequests HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:18:15 +0530] "GET /WeChatBackend/getsuggestedusers HTTP/1.1" 200 1543
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:18:18 +0530] "GET /WeChatFrontend/views/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:18:18 +0530] "GET /WeChatFrontend/images/palmtop.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:18:18 +0530] "GET /WeChatFrontend/images/chat1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:18:18 +0530] "GET /WeChatFrontend/images/livechat.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:18:26 +0530] "GET /WeChatBackend/getpendingrequests HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:18:26 +0530] "GET /WeChatBackend/getsuggestedusers HTTP/1.1" 200 1543
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:19:55 +0530] "GET /WeChatFrontend/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:19:55 +0530] "GET /WeChatFrontend/controller/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:19:55 +0530] "GET /WeChatFrontend/controller/blogpostcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:19:55 +0530] "GET /WeChatFrontend/controller/blogpostdetailcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:19:55 +0530] "GET /WeChatFrontend/js/app.js HTTP/1.1" 200 2264
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:19:55 +0530] "GET /WeChatFrontend/service/jobservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:19:55 +0530] "GET /WeChatFrontend/service/blogpostservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:19:55 +0530] "GET /WeChatFrontend/controller/friendcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:19:55 +0530] "GET /WeChatFrontend/service/friendservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:19:55 +0530] "GET /WeChatFrontend/service/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:19:55 +0530] "GET /WeChatFrontend/controller/jobcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:19:56 +0530] "GET /WeChatBackend/getimage/%7B%7BcurrentUser.username%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:19:57 +0530] "GET /WeChatFrontend/images/12s.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:19:57 +0530] "GET /WeChatBackend/getimage/%7B%7BcurrentUser.username%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:19:57 +0530] "GET /WeChatFrontend/views/listofsuggestedusers.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:19:57 +0530] "GET /WeChatBackend/getimage/Safna HTTP/1.1" 200 271658
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:19:57 +0530] "GET /WeChatBackend/getsuggestedusers HTTP/1.1" 200 1543
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:19:57 +0530] "GET /WeChatBackend/getpendingrequests HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:20:00 +0530] "GET /WeChatFrontend/views/listofpendingrequests.html HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:20:00 +0530] "GET /WeChatBackend/getpendingrequests HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:20:00 +0530] "GET /WeChatBackend/getsuggestedusers HTTP/1.1" 200 1543
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:20:09 +0530] "GET /WeChatBackend/getpendingrequests HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:20:09 +0530] "GET /WeChatBackend/getsuggestedusers HTTP/1.1" 200 1543
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:20:15 +0530] "POST /WeChatBackend/friendRequest/lakshmi HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:20:17 +0530] "GET /WeChatBackend/getsuggestedusers HTTP/1.1" 200 1369
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:20:21 +0530] "GET /WeChatBackend/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:20:35 +0530] "POST /WeChatBackend/login HTTP/1.1" 401 93
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:20:42 +0530] "POST /WeChatBackend/login HTTP/1.1" 401 93
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:21:00 +0530] "POST /WeChatBackend/login HTTP/1.1" 200 185
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:21:00 +0530] "GET /WeChatFrontend/views/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:21:00 +0530] "GET /WeChatBackend/getimage/Fatheena HTTP/1.1" 200 6951
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:21:00 +0530] "GET /WeChatFrontend/images/palmtop.png HTTP/1.1" 304 -
